Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Large et al. 2021,EM-z23-1-2,1315,0.26,77,1.186,15.18,16.96,5.1,58,14.5,140,45,180,36,319,56
Large et al. 2021,EM-z26-1-1,320,0.016,33,0.134,2.27,2.75,0.96,10,2.9,30,10.5,44,9,87,16
Large et al. 2021,EM-z26-1-2,750,0.051,60,0.36,4.66,5.92,1.76,22,6.4,67,24.3,105,22,200,37
Large et al. 2021,EM-z27-1-1,498,0.041,55,0.228,3,4.53,1.42,18,4.7,47,16.7,70,15,149,29
Large et al. 2021,EM-z27-1-2,801,0.072,95,0.457,5.83,7.8,2.26,30,7.9,79,26.3,108,22,202,35
Large et al. 2021,EM-z28-1-1,934,0.085,68,0.476,6.19,7.37,2.32,30,8.4,86,30.5,129,27,239,43
Large et al. 2021,EM-z28-1-2,1090,0.08,81,0.534,6.34,7.84,2.28,30,8.8,96,35,155,33,303,55
Large et al. 2021,EM-z29-1-1,401,0.028,37,0.171,2.86,3.8,1.08,13,3.8,38,13.1,55,12,109,20
Large et al. 2021,EM-z29-1-2,468,0.039,44,0.241,3.22,4.16,1.28,16,4.3,44,15.2,66,14,128,23
Large et al. 2021,EM-z34-1-1,947,0.108,114,0.636,7.76,10.2,3.28,38,10,97,31.5,130,26,233,40
Large et al. 2021,EM-z34-1-2,894,0.085,96,0.532,7.04,7.93,2.18,31,8.6,87,29.5,126,26,235,41
Large et al. 2021,EM-z36-1-1,949,0.237,47,1.128,13.27,14.31,4.07,43,10.5,99,32.3,130,27,241,44
Large et al. 2021,EM-z36-1-2,577,0.059,55,0.315,3.76,4.6,1.64,19,5.4,56,18.4,79,17,160,28
Large et al. 2021,EM-z37-1-1,1549,0.306,76,1.341,18.45,22.96,6.96,76,17.9,168,53.2,208,41,356,60
Large et al. 2021,EM-z38-1-1,1158,0.145,52,0.866,10.36,12.26,3.56,45,11.9,119,39.1,162,33,298,52
Large et al. 2021,EM-z38-1-2,1293,0.181,61,1.054,13.03,15.33,4.33,53,13.7,134,43.7,178,36,326,55
Large et al. 2021,EM-z4-1-1,965,0.102,95,0.687,8.96,12.19,3.67,43,10.7,100,32.9,132,27,236,41
Large et al. 2021,EM-z4-1-2,408,0.022,52,0.129,1.96,2.59,0.85,11,3.2,36,12.9,58,13,128,24
Large et al. 2021,EM-z41-1-1,1150,0.079,84,0.416,5.33,6.63,2.21,28,8.4,99,36.2,160,34,308,57
Large et al. 2021,EM-z41-1-2,1008,0.108,91,0.632,7.95,11.32,3.76,41,10.7,103,33.3,136,28,254,46
Large et al. 2021,EM-z6-1-1,641,0.059,61,0.308,4.65,6.59,1.98,24,6.4,64,21.4,90,19,170,31
Large et al. 2021,EM-z6-1-2,1246,0.065,132,0.443,5.85,8.29,2.34,34,9.9,107,40.1,179,38,353,62
Large et al. 2021,EM-z7-1-1,797,0.085,81,0.407,5.15,7.07,2.34,27,7.2,76,26.5,110,23,211,36
Large et al. 2021,EM-z7-1-2,600,0.037,51,0.296,3.66,4.66,1.37,16,4.8,52,19,88,20,188,34
Large et al. 2021,EM-z8-1-1,842,0.094,113,0.486,6.66,7.71,2.48,32,8.5,84,28.4,116,24,215,38
Large et al. 2021,EM-z8-1-2,715,0.072,91,0.431,5.27,6.28,1.81,24,6.7,67,22.9,100,22,199,35
Large et al. 2021,EM-z9-1-2,757,0.042,62,0.253,3.77,5.06,1.45,19,5.5,63,24,110,25,232,44
Large et al. 2021,QMP-z1-1-1,820,0.035,52,0.169,2.67,4.47,1.85,21,6.3,71,26.2,122,27,270,56
Large et al. 2021,QMP-z7-1-1,538,0.035,37,0.163,3.62,5.01,1.21,19,5,51,17.7,76,17,152,30
Large et al. 2021,QMP-z9-1-2,440,0.016,40,0.119,1.76,3,1.43,13,3.9,40,14.2,64,14,146,29
Large et al. 2021,QMP-z10-1-2,422,0.156,47,0.103,1.15,2.17,0.71,11,3.3,37,13.4,62,14,137,27
Large et al. 2021,QMP-z22-1-1,601,0.036,37,0.195,3.1,4.35,1.26,17,5,53,19,84,19,185,36
Large et al. 2021,QMP-z10-1-3,596,0.023,32,0.258,4.37,6.18,2.06,23,6.1,59,19.8,82,17,162,31
Large et al. 2021,QMP-z35-2,229,0.015,22,0.048,0.82,1.5,0.43,6,1.9,21,7.3,33,7,69,14
Large et al. 2021,QMP-z24-2,408,0.021,24,0.176,3.64,3.8,1.49,16,3.9,42,13.4,55,12,104,21
Large et al. 2021,QMP-z15-1,758,0.034,54,0.176,3.16,5.18,1.52,22,6.4,69,24.6,109,24,226,44
Large et al. 2021,QMP-z27-1,1480,0.053,90,0.42,7,9.6,4.07,44,12.3,132,47.1,213,46,472,94
Large et al. 2021,QMP-z43-1,276,0.019,26,0.098,1.47,2.2,0.6,9,2.4,25,8.9,39,9,84,17
Large et al. 2021,QMP-z40-1,1118,0.093,81,0.491,7.33,11.16,3.03,45,12,115,37.7,150,30,270,50
Large et al. 2021,QMP-z45-2,644,0.07,73,0.131,2.44,4.02,1.23,20,5.5,58,20.9,92,20,191,38
Large et al. 2021,QMP-z47-1,902,0.67,91,0.58,6.8,7.8,1.83,30,8.4,83,27.6,119,26,253,49
Large et al. 2021,QMP-z47-2,286,0.011,36,0.053,0.88,1.45,0.43,7,2.3,25,9.2,41,9,93,19
Large et al. 2021,QMP-z50-1,290,0.022,23,0.103,1.55,2.47,0.9,10,2.9,29,9.8,41,9,80,16
Large et al. 2021,QMP-z50-2,809,0.099,31,0.544,7.41,9.72,2.48,34,8.6,85,27.2,108,22,199,39
Large et al. 2021,QMP-z49-1,894,0.084,72,0.186,2.68,4.67,1.41,20,5.9,70,26.6,131,31,326,70
Large et al. 2021,QMP-z49-2,525,0.015,60,0.131,1.97,3.58,1.08,15,4.3,47,17,74,16,158,32
Large et al. 2021,QMP-z60-1,447,0.03,24,0.231,3.58,4.83,1.32,18,4.4,43,14.2,62,13,121,24
Large et al. 2021,QMP-z74-1,1310,0.065,65,0.394,7,9.6,3.22,42,11.6,122,43.4,187,41,386,75
Large et al. 2021,QMP-z72-1,300,0.028,23,0.099,1.24,2.53,0.67,9,2.6,28,9.6,43,9,87,18
Large et al. 2021,QMP-z58-1,357,0.102,31,0.175,2.31,3.3,0.91,12,3.4,35,11.4,48,10,103,20
Large et al. 2021,QMP-z76-1,1127,0.031,74,0.309,5.06,8.04,2.67,34,9.7,102,36.3,157,34,332,66
Large et al. 2021,QMP-z88-1,1320,0.35,95,0.83,11.6,14.9,3.26,51,13,133,44.3,181,37,336,64
Large et al. 2021,QMP-z83-1,373,0.013,21,0.185,2.81,3.64,1.27,14,3.7,36,12.2,50,10,99,19
Large et al. 2021,QMP-z84-1,607,0.03,44,0.219,4.04,5.33,1.51,22,5.8,56,18.9,79,18,164,33
Large et al. 2021,QMP-z84-2,495,0.041,57,0.079,1.65,2.59,1.05,13,3.8,44,16,70,15,154,31
Large et al. 2021,QMP-z56-1,309,0.019,24,0.089,1.19,1.79,0.8,10,2.8,28,9.8,43,9,93,19
Large et al. 2021,QMP-z56-2,785,0.024,97,0.267,4.14,6.41,1.65,27,7.5,77,25.3,106,23,208,41
Large et al. 2021,QMP-z78-1,1008,0.47,48,0.75,9.58,12.5,3.42,43,11.3,105,33.5,137,28,252,48
Large et al. 2021,QMP-z62-1,594,0.034,41,0.249,4.01,5.4,1.51,21,5.5,56,19.1,83,17,166,32
Large et al. 2021,QMP-z63-1,962,0.033,60,0.287,4.77,6.7,2.22,30,8.7,90,32.2,139,30,296,57
Large et al. 2021,QMP-z03-1,402,0.019,25,0.199,2.95,4.35,1.3,16,3.9,40,13.1,55,11,107,22
Large et al. 2021,QMP-z51-2,577,0.051,59,0.151,2.25,3.49,1.13,15,4.5,49,17.7,81,18,177,36
Large et al. 2021,QMP-z1-1m2,416,0.028,31,0.059,1.22,2.74,1.02,10,3.2,33,12.8,56,14,141,28
Large et al. 2021,QMP-z1-2m2,512,0.098,40,0.102,1.24,2.66,0.94,12,3.8,43,16.1,77,18,184,39
Large et al. 2021,QMP-z3-2m2,726,0.14,52,0.203,2.56,4.5,1.44,20,6.2,66,24.5,112,24,238,47
Large et al. 2021,QMP-z5-1m2,809,0.024,51,0.261,4.51,6.13,2.08,24,6.8,74,26.5,117,26,254,52
Large et al. 2021,QMP-z7-1m2,600,0.019,45,0.108,1.95,2.85,1.11,13,4.2,48,19.6,88,21,216,47
Large et al. 2021,QMP-z9-2m2,609,0.053,46,0.197,2.91,4.67,1.35,18,5.1,55,20.2,84,20,196,40
Large et al. 2021,QMP-z10-1m2,159,0.1,21,0.075,0.72,0.79,0.3,5,1.2,14,5.2,23,5,54,11
Large et al. 2021,QMP-z12-2m2,383,0.43,53,0.128,1.74,2.21,0.78,11,2.8,32,12.4,55,13,128,28
Large et al. 2021,QMP-z13-1m2,384,0.019,28,0.1,1.32,2.37,0.74,11,3.2,37,12.8,55,12,116,23
Large et al. 2021,QMP-z17-2m2,636,0.034,39,0.291,4.86,6.21,1.68,24,6.6,60,20.5,85,19,169,35
Large et al. 2021,QMP-z20-1m2,1540,0.113,102,0.63,9.2,12.8,3.68,53,15.3,143,51.1,208,45,408,79
Large et al. 2021,QMP-z21-2m2,1002,0.06,56,0.48,6.9,9.6,2.53,35,9.3,91,32.5,136,29,279,55
Large et al. 2021,QMP-z22-1m2,886,0.024,51,0.187,3.52,6.21,2.02,27,7.8,82,29.4,126,28,265,51
Large et al. 2021,QMP-z23-1m2,916,0.027,55,0.316,5.13,7.8,2.39,29,8.4,81,28.9,129,28,274,59
Large et al. 2021,QMP-z23-2m2,542,0.016,60,0.097,1.78,2.86,1.19,15,4.2,47,17.3,79,18,179,37
Large et al. 2021,QMP-z24-1m2,1160,0.92,68,0.64,6.12,9.4,2.66,39,10.6,113,38.8,163,34,329,63
Large et al. 2021,QMP-z25-2m2,1087,0.048,116,0.287,5.55,9.1,2.39,36,10.3,102,35.3,151,33,319,59
Large et al. 2021,QMP-z28-1m2,650,0.018,39,0.22,4.2,4.5,1.89,20,4.8,61,20.4,94,21,227,50
Large et al. 2021,QMP-z28-2m2,860,0.032,47,0.205,4.48,6.4,2,23,6.9,73,27.1,121,29,286,61
Large et al. 2021,QMP-z30-1m2,657,0.24,38,0.38,5.25,6.3,1.87,23,6.3,64,21.9,87,19,173,35
Large et al. 2021,QMP-z31-1m2,1096,0.191,56,0.69,8.5,12.5,2.59,42,11.4,112,36.8,153,32,293,54
Large et al. 2021,QMP-z32-1m2,1590,0.069,92,0.82,12,15.4,4.05,61,16.5,162,54.2,223,45,417,78
Large et al. 2021,QMP-z34-1m2,926,0.33,50,0.6,6.69,8.9,2.45,32,8.6,89,31.1,130,28,271,56
Large et al. 2021,LP-z01-1,733,0.031,60,0.219,2.47,4.56,1.62,21,6.3,67,24.4,105,23,227,44
Large et al. 2021,LP-z01-2,444,0.305,53,0.153,1.86,2.54,0.86,11,3.4,37,13.8,64,15,145,31
Large et al. 2021,LP-z02-1,305,0.009,29,0.057,0.85,1.83,0.65,9,2.3,27,9.6,42,10,96,19
Large et al. 2021,LP-z03-1,718,0.068,56,0.197,2.85,4.38,1.19,20,5.5,62,22.5,102,24,237,49
Large et al. 2021,LP-z03-2,571,0.019,60,0.073,1.36,2.91,1.25,15,4.4,48,18,81,20,202,42
Large et al. 2021,LP-z05-1,847,0.037,43,0.134,2.01,3.37,1.36,17,5.3,62,24.4,124,30,330,76
Large et al. 2021,LP-z06-1,1690,0.102,78,0.314,5.15,10.9,3.42,45,14.1,152,54.5,233,48,435,81
Large et al. 2021,LP-z07-1,682,0.017,37,0.185,2.77,4.12,1.47,19,5.4,60,21.8,96,22,209,43
Large et al. 2021,LP-z31-1,839,0.045,58,0.244,4.3,6.57,1.83,26,7.4,76,26.9,119,26,250,50
Large et al. 2021,LP-z31-2,463,0.075,57,0.091,1.54,2.42,1.09,11,3.3,36,14,67,16,168,38
Large et al. 2021,LP-z46-1,940,0.09,46,0.506,7.29,9.91,2.68,35,9.7,94,30.7,129,27,250,49
Large et al. 2021,LP-z43-1,1113,0.044,81,0.367,5.7,8.13,1.95,35,10.1,102,36,156,33,309,61
Large et al. 2021,LP-z43-2,413,0.246,27,0.106,0.96,1.65,0.91,9,2.6,30,12.4,60,15,155,36
Large et al. 2021,LP-z45-1,723,0.036,50,0.192,1.96,3.86,1.28,16,5,56,21.8,106,25,264,54
Large et al. 2021,LP-z45-2,768,0.201,88,0.301,3.85,5.19,1.49,24,6.3,70,24.5,106,23,223,44
Large et al. 2021,LP-z39-1,274,0.042,23,0.056,1.03,1.62,0.53,7,2.1,23,8.2,38,8,78,16
Large et al. 2021,LP-z39-2,302,0.045,42,0.078,0.85,1.38,0.66,7,2.2,23,9.1,43,11,110,25
Large et al. 2021,LP-z23-1,715,0.084,58,0.3,4.09,5.68,1.53,22,6,64,22.8,101,23,220,45
Large et al. 2021,LP-z24-1,1131,0.034,70,0.331,5.52,7.94,2.51,33,9.7,101,36,160,36,346,70
Large et al. 2021,LP-z24-2,565,0.063,42,0.077,1.28,2.81,1.2,13,4.3,47,17.4,80,19,193,42
Large et al. 2021,LP-z25-1,649,0.024,46,0.193,3.33,4.7,1.38,20,5.4,58,21.1,94,20,199,39
Large et al. 2021,LP-z38-1,1320,0.112,104,0.5,7.27,11.15,3.27,45,12.6,129,44,189,40,375,71
Large et al. 2021,LP-z35-1,815,0.026,45,0.249,3.62,5.29,2.34,23,6.5,72,25.7,115,27,258,54
Large et al. 2021,LP-z33-1,487,0.036,33,0.263,4.33,5.54,1.69,20,5.3,52,16.3,65,14,124,24
Large et al. 2021,LP-z19-1,569,0.04,34,0.31,4.7,6.7,1.74,20,5.4,54,17.8,73,16,155,32
Large et al. 2021,LP-z19-2,448,0.021,47,0.065,1.27,2.09,1.08,11,3.2,37,13.7,64,15,159,35
Large et al. 2021,LP-z22-1,567,0.046,28,0.187,2.99,5.76,1.82,22,6,57,19.3,77,16,146,28
Large et al. 2021,LP-z41-1,611,0.042,39,0.16,2.4,3.6,1.25,16,4.5,48,19.1,91,22,218,45
Large et al. 2021,LP-z40-1,445,0.026,25,0.278,4.01,4.58,1.52,18,4.5,43,14.5,59,12,117,24
Large et al. 2021,LP-z42-2,402,0.237,49,0.096,1.34,2.4,0.86,10,3,33,12.3,58,13,141,31
Large et al. 2021,LP-z59-2,477,0.023,57,0.091,1.63,2.74,1.13,12,3.6,40,14.7,69,16,160,34
Large et al. 2021,LP-z71-2,540,0.047,54,0.092,1.49,2.59,1.16,13,4,44,16.7,78,18,184,39
Large et al. 2021,LP-z83-1,730,0.015,43,0.178,2.67,4.31,1.56,19,5.6,62,23.4,107,25,239,50
Large et al. 2021,LP-z99-1,588,0.16,39,0.312,4.48,6.04,1.74,22,5.8,57,19.1,80,16,154,31
Large et al. 2021,LP-z99-2,726,0.014,94,0.167,2.83,5.15,1.59,22,6.3,66,23.4,103,23,218,43
Large et al. 2021,LP-z96-1,382,0.026,24,0.144,2.33,3.54,1.02,13,3.6,36,12.3,52,11,105,22
Large et al. 2021,LP-z90-1,271,0.031,26,0.141,1.99,2.65,0.68,10,2.6,26,9,37,8,77,15
Large et al. 2021,LP-z90-2,645,0.029,75,0.124,2.57,4.2,1.91,20,5.6,56,20,93,21,209,42
Large et al. 2021,LP-z82-2,689,0.02,46,0.067,1.54,2.98,1.49,14,4.7,51,20.1,97,23,252,57
Large et al. 2021,LP-z79-1,684,0.015,43,0.119,2.21,3.81,1.19,17,5.3,58,21.9,99,22,216,44
Large et al. 2021,LP-z79-2,481,0.006,34,0.051,0.89,2,1.06,11,3.2,36,14.5,69,16,171,38
Large et al. 2021,LP-z67-1,561,0.12,53,0.119,1.84,3.01,1.02,13,4,46,16.9,80,19,195,41
Large et al. 2021,LP-z78-1,1431,0.109,92,0.474,7.61,11,3.61,46,13,135,47.5,202,41,376,73
Large et al. 2021,LP-z78-2,408,0.028,43,0.06,0.9,2.13,0.88,9,2.8,32,12.4,59,14,152,33
Large et al. 2021,LP-z88-1,1234,0.184,87,0.367,5.92,8.59,2.59,36,10.4,111,39.8,176,38,361,71
Large et al. 2021,LP-z88-2,659,0.035,48,0.055,1.08,2.49,1.16,13,4.2,49,19.8,99,24,252,56
Large et al. 2021,LP-z73-1,1850,0.287,180,0.83,12.7,18.1,5.86,68,18.1,188,63.4,259,53,462,90
Large et al. 2021,LP-z73-2,186,0.084,19,0.083,1.16,1.25,0.45,5,1.5,16,5.8,25,6,56,12
Large et al. 2021,LP-z90-3,566,0.009,34,0.135,2.49,4.14,1.19,18,5.1,52,18.1,81,17,163,33
Large et al. 2021,LP-z90-4,746,0.022,67,0.169,3.24,4.41,1.56,19,5.9,65,23.4,108,24,236,49
Large et al. 2021,LP-z68-1,750,0.127,54,0.218,3.25,5.04,1.46,21,6.2,67,23.7,105,24,230,45
Large et al. 2021,LP-z70-1,492,0.045,47,0.354,4.39,6.03,1.47,18,4.8,47,15.9,67,14,139,27
Large et al. 2021,QLP-z10-2,408,0.119,30,0.084,1.04,1.74,0.92,9,2.7,29,11.8,58,14,156,37
Large et al. 2021,QLP-z2-1,389,0.086,18,0.048,0.7,1.14,0.58,7,2.1,26,11.1,57,15,169,42
Large et al. 2021,QLP-z2-2,552,0.127,28,0.076,0.81,1.58,0.91,10,3.2,38,15.8,78,19,211,49
Large et al. 2021,QLP-z3-1,336,0.234,19,0.104,0.72,1.29,0.57,7,2,23,9.4,50,12,138,34
Large et al. 2021,QLP-z11-1,1113,0.334,54,0.253,3.03,4.64,1.97,22,6.9,80,32.1,157,37,396,90
Large et al. 2021,QLP-z11-2,555,0.244,31,0.089,0.97,2.11,1.07,11,3.2,38,15.2,77,19,212,51
Large et al. 2021,QLP-z21-1,554,0.116,20,0.078,0.81,1.69,0.93,10,3.2,38,16,83,20,227,54
Large et al. 2021,QLP-z21-2,793,0.021,40,0.063,1.07,1.8,1.2,13,4.3,53,22.4,115,29,315,75
Large et al. 2021,QLP-z35-1,720,0.114,69,0.165,2.46,4.13,1.59,18,5.4,59,22.3,105,24,249,53
Large et al. 2021,QLP-z35-2,615,0.36,44,0.196,2.14,2.98,1.57,15,4.2,46,18.2,89,21,222,50
Large et al. 2021,QLP-z38-1,459,0.018,30,0.194,3.16,4.34,1.39,16,4.3,44,15,63,14,129,26
Large et al. 2021,QLP-z24-1,698,0.227,41,0.139,1.94,3.24,1.47,16,4.7,54,21.2,102,24,257,58
Large et al. 2021,QLP-z14-1,720,0.044,58,0.183,2.2,3.71,1.41,17,5.2,59,22.2,99,24,242,51
Large et al. 2021,QLP-z14-2,210,0.042,13,0.031,0.36,0.77,0.35,3,1.1,14,6,31,8,92,22
Large et al. 2021,QLP-z5-1,667,0.02,51,0.052,1.25,2.6,1.24,13,4.2,50,20.5,100,25,262,57
Large et al. 2021,QLP-z4-1,558,0.214,23,0.082,1.18,2.28,1.1,11,3.3,37,16.5,80,20,221,53
Large et al. 2021,QLP-z4-2,779,0.26,43,0.124,1.69,2.6,1.42,16,4.8,57,22.8,111,27,287,65
Large et al. 2021,QLP-z12-2,578,0.156,21,0.068,0.64,1.02,0.69,7,2.7,34,15.4,85,22,262,65
Large et al. 2021,QLP-z7-1,754,0.243,31,0.106,1.31,2.37,1.15,13,4.4,53,22.1,112,28,298,69
Large et al. 2021,QLP-z7-2,321,0.131,18,0.053,0.55,1.13,0.69,6,2,22,9,47,12,131,31
Large et al. 2021,QLP-z15-1,783,0.024,48,0.199,3.91,6.18,1.79,25,6.9,74,25.6,110,24,229,46
Large et al. 2021,QLP-z15-2,448,0.11,32,0.086,1.12,1.95,0.95,10,3,34,13.6,64,15,164,38
Large et al. 2021,QLP-z16-1,895,0.258,38,0.244,3.07,5.1,2.24,23,6.7,76,28.1,127,29,299,65
Large et al. 2021,QLP-z16-2,504,0.014,31,0.039,0.96,1.79,1.11,10,3.3,37,14.7,72,17,190,45
Large et al. 2021,QLP-z17-1,607,0.065,23,0.096,1.17,2.22,1.16,12,3.9,45,18.2,91,22,238,56
Large et al. 2021,QLP-z28-2,586,0.024,44,0.053,1.54,2.69,1.3,13,4.1,47,17.5,84,20,208,46
Large et al. 2021,QLP-z54-2,599,0.4,44,0.197,1.95,2.82,1.35,14,4.3,47,18,85,20,208,47
Large et al. 2021,QLP-z40-1,643,0.017,49,0.135,2.32,3.33,1.34,15,4.6,50,19.5,93,22,225,50
Large et al. 2021,QLP-z41-1,786,0.039,58,0.171,2.77,4.85,1.86,23,6.8,72,25.4,111,24,231,46
Large et al. 2021,QLP-z41-2,415,0.012,20,0.023,0.47,1.29,0.71,7,2.5,28,11.8,60,15,170,40
Large et al. 2021,QLP-z30-1,838,0.244,78,0.411,4.9,6.81,2.34,25,7.2,77,27.5,116,26,251,51
Large et al. 2021,QLP-z31-1,444,0.059,26,0.048,0.85,1.36,0.76,8,2.6,31,13,64,16,177,41
Large et al. 2021,QLP-z57-1,601,0.016,44,0.119,1.83,3.3,1.23,16,4.7,53,19.6,89,20,195,40
Large et al. 2021,QLP-z43-2,381,0.182,27,0.102,0.89,1.41,0.85,8,2.3,27,10.8,54,14,152,37
Large et al. 2021,QLP-z69-2,539,0.019,32,0.055,0.86,2.01,0.9,12,3.6,42,16.1,77,19,205,47
Large et al. 2021,QLP-z60-2,508,0.038,64,0.101,1.88,2.52,1.09,13,3.7,41,15.5,72,17,170,37
Large et al. 2021,QLP-z59-1,684,0.023,22,0.101,1.93,3,1.46,14,4.3,50,20.1,98,24,256,61
Large et al. 2021,QLP-z49-2,530,0.014,26,0.034,0.74,1.79,0.91,10,3.2,38,15.2,76,19,209,50
Large et al. 2021,QLP-z51-1,754,0.56,45,0.44,4.21,4.45,1.07,18,5.2,59,22.8,109,26,259,54
Large et al. 2021,QLP-z62-2,391,0.01,46,0.059,1.23,2.2,0.77,10,2.9,32,11.9,57,13,131,27
Large et al. 2021,QLP-z71-1,599,0.049,36,0.078,1.03,2.27,1.02,12,3.7,43,17.6,87,21,228,53
Large et al. 2021,QLP-z65-1,795,0.035,74,0.225,3.16,4.74,1.91,20,6,67,25.1,113,26,266,57
Large et al. 2021,QLP-z74-1,527,0.036,22,0.031,0.83,1.76,0.89,9,3.2,37,15.4,76,19,205,47
Large et al. 2021,QLP-z74-2,481,0.1,32,0.066,1.06,2.01,1.13,11,3.2,35,13.8,69,17,181,41
Large et al. 2021,QLP-z78-1,969,0.036,56,0.333,4.88,7.93,2.44,32,9,91,32.2,139,29,278,55
Large et al. 2021,QLP-z3-2m2,526,0.025,45,0.102,1.46,2.5,1.06,14,4.3,45,17.1,75,17,165,32
Large et al. 2021,QLP-z5-1m2,560,0.031,46,0.199,3.49,4.99,1.47,19,5.2,54,18.3,79,18,174,33
Large et al. 2021,QLP-z6-1m2,524,0.107,25,0.035,0.7,1.5,0.76,8,2.8,34,14.7,77,19,222,54
Large et al. 2021,QLP-z6-2m2,516,0.054,32,0.061,0.64,2.4,0.74,9,3.2,36,15,75,19,203,47
Large et al. 2021,QLP-z7-1m2,1350,0.053,80,0.219,3.8,7.6,3.68,45,11.6,125,43.9,192,42,404,85
Large et al. 2021,QLP-z12-1m2,423,0.103,29,0.042,0.86,1.38,0.72,8,2.7,32,12.3,61,15,169,38
Large et al. 2021,QLP-z13-1m2,970,0.112,38,0.179,2.92,4.53,1.77,23,6.5,76,27.5,142,34,362,79
Large et al. 2021,QLP-z14-1m2,767,0.35,34,0.27,2.36,3.74,1.89,16,5.3,57,23.4,112,26,286,62
Large et al. 2021,QLP-z16-1m2,621,0.208,20,0.175,1.76,2.73,1.2,13,3.8,44,18,88,22,240,56
Large et al. 2021,QLP-z16-2m2,264,0.119,15,0.046,0.45,0.4,0.46,4,1.5,15,7.4,38,10,119,30
Large et al. 2021,QLP-z17-1m2,321,0.185,19,0.058,0.59,1.23,0.68,6,1.9,23,9.6,47,12,126,29
Large et al. 2021,QLP-z21-2m2,515,0.055,20,0.016,0.44,1.62,0.63,9,3,37,15.7,77,20,216,53
Large et al. 2021,QLP-z23-1m2,536,0.034,20,0.043,0.5,1.48,0.5,8,2.7,35,14.4,76,20,232,55
Large et al. 2021,QLP-z24-1m2,624,0.05,26,0.052,0.78,1.88,0.93,10,3.4,44,18.1,93,24,253,60
Large et al. 2021,QLP-z28-1m2,588,0.127,40,0.179,1.96,2.18,1.04,13,3.5,42,15.9,83,20,211,50
Large et al. 2021,QLP-z29-1m2,922,0.038,64,0.147,2.87,4.95,2.04,22,6.7,75,28.3,132,30,302,64
Large et al. 2021,QLP-z33-1m2,476,0.441,30,0.135,1.41,1.86,0.85,9,2.8,35,14.2,71,18,199,45
Large et al. 2021,QLP-z36-2m2,530,0.073,22,0.046,0.6,1.15,0.66,8,2.4,33,14.8,79,21,231,57
Large et al. 2021,QLP-z38-2m2,726,0.046,24,0.119,2.54,2.99,1.72,16,4.4,55,21.2,107,27,278,65
